Level,Ionization_Mode,DTXSID,Preferred_Name,MS_READY_DTXCID,MS_READY_FORMULA,MS_READY_MONOISOTOPIC_MASS,MS_READY_SMILES,mean_RT,Observed_Isomer,Isomer_Number,Isomer_Order,Spike_Conc,mean_Intensity,std_Intensity,SMILES,Molar_Conc,Intensity,Response_Factor,Log_Pred_Ionization_Eff,Log_Pred_Response_Factor,Predicted_Conc,Predicted_Conc_uM
Low,Esi+,DTXSID4044901,Triallyl trimellitate,DTXCID2024901,C18H18O6,330.1103383,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C,10.06,0,,,0.024,844033,,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C,,844033,,2.221084761,13.33116667,3.93725E-08,0.039372479
High,Esi+,DTXSID8037754,"2,4,6-Tris(allyloxy)-1,3,5-triazine",DTXCID6017754,C12H15N3O3,249.1113414,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,7.9,0,,,0.49,28488044,,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,,28488044,,2.03045,13.25623058,1.57918E-06,1.579181522
Mid,Esi+,DTXSID8037754,"2,4,6-Tris(allyloxy)-1,3,5-triazine",DTXCID6017754,C12H15N3O3,249.1113414,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,7.9,0,,,0.122,11434128,,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,,11434128,,2.03045,13.25623058,6.3383E-07,0.633829534
Low,Esi+,DTXSID8037754,"2,4,6-Tris(allyloxy)-1,3,5-triazine",DTXCID6017754,C12H15N3O3,249.1113414,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,7.9,0,,,0.024,2381993,,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,,2381993,,2.03045,13.25623058,1.32041E-07,0.132041334
High,Esi+,DTXSID5023322,Mifepristone,DTXCID80209291,C29H35NO2,429.2667794,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,10.44,0,,,0.732,47136472,,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,,47136472,,3.134233676,13.69011387,9.62151E-07,0.962150933
Mid,Esi+,DTXSID5023322,Mifepristone,DTXCID80209291,C29H35NO2,429.2667794,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,10.44,0,,,0.244,16261273,,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,,16261273,,3.134233676,13.69011387,3.31926E-07,0.331925541
Low,Esi+,DTXSID5023322,Mifepristone,DTXCID80209291,C29H35NO2,429.2667794,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,10.44,0,,,0.061,3637864,,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,,3637864,,3.134233676,13.69011387,7.42562E-08,0.074256178
High,Esi+,DTXSID4042121,Mepanipyrim,DTXCID2022121,C14H13N3,223.1109474,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,7.87,0,,,0.49,45739640,,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,,45739640,,3.430479314,13.80656425,7.1405E-07,0.71404978
Mid,Esi+,DTXSID4042121,Mepanipyrim,DTXCID2022121,C14H13N3,223.1109474,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,7.87,0,,,0.122,14748067,,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,,14748067,,3.430479314,13.80656425,2.30235E-07,0.230234737
Low,Esi+,DTXSID4042121,Mepanipyrim,DTXCID2022121,C14H13N3,223.1109474,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,7.87,0,,,0.024,2718350,,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,,2718350,,3.430479314,13.80656425,4.24367E-08,0.042436653
High,Esi+,DTXSID2020424,Chloranocryl,DTXCID00424,C10H9Cl2NO,229.0061193,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,7.41,0,,,0.49,2373476,,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,0.00000049,2373476,4.84383E+12,2.536891541,13.45530629,8.31914E-08,0.083191423
Mid,Esi+,DTXSID2020424,Chloranocryl,DTXCID00424,C10H9Cl2NO,229.0061193,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,7.41,0,,,0.122,1114898,,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,0.000000122,1114898,9.13851E+12,2.536891541,13.45530629,3.90777E-08,0.039077687
Low,Esi+,DTXSID2020424,Chloranocryl,DTXCID00424,C10H9Cl2NO,229.0061193,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,7.41,0,,,0.024,224244,,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,0.000000024,224244,9.3435E+12,2.536891541,13.45530629,7.85986E-09,0.007859855
High,Esi+,DTXSID8044882,Di(ethylene glycol) dimethacrylate,DTXCID6024882,C12H18O5,242.1154237,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C,6.18,0,,,0.49,8002034,,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C,,8002034,,2.497182068,13.439697,2.90739E-07,0.290739065
Mid,Esi+,DTXSID8044882,Di(ethylene glycol) dimethacrylate,DTXCID6024882,C12H18O5,242.1154237,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C,6.18,0,,,0.122,2729224,,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C,,2729224,,2.497182068,13.439697,9.91613E-08,0.099161292
Low,Esi+,DTXSID8044882,Di(ethylene glycol) dimethacrylate,DTXCID6024882,C12H18O5,242.1154237,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C,6.18,0,,,0.024,557302,,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C,,557302,,2.497182068,13.439697,2.02485E-08,0.020248535
High,Esi+,DTXSID6044515,Tetraethyleneglycol dimethacrylate,DTXCID4024515,C16H26O7,330.1678532,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,7.05,0,,,0.732,838613,,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,,838613,,3.45857619,13.81760878,1.2763E-08,0.012763001
Mid,Esi+,DTXSID6044515,Tetraethyleneglycol dimethacrylate,DTXCID4024515,C16H26O7,330.1678532,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,7.05,0,,,0.244,300762,,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,,300762,,3.45857619,13.81760878,4.57735E-09,0.004577351
Low,Esi+,DTXSID6044515,Tetraethyleneglycol dimethacrylate,DTXCID4024515,C16H26O7,330.1678532,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,7.05,0,,,0.061,63413,,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,,63413,,3.45857619,13.81760878,9.65094E-10,0.000965094
High,Esi+,DTXSID6040747,17alpha-Hydroxyprogesterone,DTXCID80209675,C21H30O3,330.2194948,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,8.32,0,,,0.49,7440134,841086,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,7440134,,1.798658506,13.1651163,5.08703E-07,0.50870319
Mid,Esi+,DTXSID6040747,17alpha-Hydroxyprogesterone,DTXCID80209675,C21H30O3,330.2194948,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,8.32,0,,,0.122,3410436,162288,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,3410436,,1.798658506,13.1651163,2.33181E-07,0.23318124
Low,Esi+,DTXSID6040747,17alpha-Hydroxyprogesterone,DTXCID80209675,C21H30O3,330.2194948,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,8.32,0,,,0.024,735899,42056,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,735899,,1.798658506,13.1651163,5.03155E-08,0.050315514
High,Esi+,DTXSID6047319,Carabersat,DTXCID20210220,C20H20FNO4,357.1376363,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,5.46,0,,,0.49,16766723,2910378,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,,16766723,,3.096679699,13.67535188,3.54076E-07,0.354075853
Mid,Esi+,DTXSID6047319,Carabersat,DTXCID20210220,C20H20FNO4,357.1376363,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,5.46,0,,,0.122,5750330,587180,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,,5750330,,3.096679699,13.67535188,1.21434E-07,0.121434165
Low,Esi+,DTXSID6047319,Carabersat,DTXCID20210220,C20H20FNO4,357.1376363,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,5.46,0,,,0.024,1131465,185616,CC(=O)C1=CC=C2OC(C)(C)C(O)C(NC(=O)C3=CC=C(F)C=C3)C2=C1,,1131465,,3.096679699,13.67535188,2.3894E-08,0.023894021
High,Esi+,DTXSID3022370,Progesterone,DTXCID20208869,C21H30O2,314.2245802,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,9.43,0,,,0.49,19217892,,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,19217892,,2.150144712,13.30328104,9.55927E-07,0.955926949
Mid,Esi+,DTXSID3022370,Progesterone,DTXCID20208869,C21H30O2,314.2245802,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,9.43,0,,,0.122,9433221,,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,9433221,,2.150144712,13.30328104,4.69223E-07,0.469222648
Low,Esi+,DTXSID3022370,Progesterone,DTXCID20208869,C21H30O2,314.2245802,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,9.43,0,,,0.024,2045392,,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,2045392,,2.150144712,13.30328104,1.01741E-07,0.101740885
High,Esi+,DTXSID7035010,Sodium warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.79,0,,,0.49,14712707,,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,,14712707,,2.854195032,13.58003425,3.86953E-07,0.386953107
High,Esi+,DTXSID5023742,Warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.54,0,,,0.49,17738032,,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,,17738032,,2.854195032,13.58003425,4.66521E-07,0.466520987
Mid,Esi+,DTXSID7035010,Sodium warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.79,0,,,0.122,3993374,,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,,3993374,,2.854195032,13.58003425,1.05028E-07,0.105028155
Mid,Esi+,DTXSID5023742,Warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.54,0,,,0.122,5431675,,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,,5431675,,2.854195032,13.58003425,1.42856E-07,0.142856343
Low,Esi+,DTXSID7035010,Sodium warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.79,0,,,0.024,1047609,,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,,1047609,,2.854195032,13.58003425,2.75528E-08,0.027552751
Low,Esi+,DTXSID5023742,Warfarin,DTXCID20196838,C19H16O4,308.104859,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,4.54,0,,,0.024,1113589,,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,,1113589,,2.854195032,13.58003425,2.92881E-08,0.029288065
High,Esi+,DTXSID2035481,4-(4-(Acetyloxy)phenyl)-2-butanone,DTXCID0015481,C12H14O3,206.0942943,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,3.61,0,,,0.49,205580,,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,0.00000049,205580,4.19551E+11,2.150833353,13.30355174,1.02195E-08,0.010219488
Mid,Esi+,DTXSID2035481,4-(4-(Acetyloxy)phenyl)-2-butanone,DTXCID0015481,C12H14O3,206.0942943,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,3.61,0,,,0.122,121949,,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,0.000000122,121949,9.99582E+11,2.150833353,13.30355174,6.06215E-09,0.006062148
Low,Esi+,DTXSID2035481,4-(4-(Acetyloxy)phenyl)-2-butanone,DTXCID0015481,C12H14O3,206.0942943,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,3.61,0,,,0.024,,,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,0.000000024,,,2.150833353,13.30355174,,
High,Esi+,DTXSID7029879,Ketoconazole,DTXCID90196446,C26H28Cl2N4O4,530.1487608,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,9.7,0,,,0.49,72392016,,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,,72392016,,3.330629588,13.7673146,1.23702E-06,1.237018153
Mid,Esi+,DTXSID7029879,Ketoconazole,DTXCID90196446,C26H28Cl2N4O4,530.1487608,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,9.7,0,,,0.122,18051328,,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,,18051328,,3.330629588,13.7673146,3.08457E-07,0.308456949
Low,Esi+,DTXSID7029879,Ketoconazole,DTXCID90196446,C26H28Cl2N4O4,530.1487608,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,9.7,0,,,0.024,1526780,,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,,1526780,,3.330629588,13.7673146,2.60893E-08,0.026089266
High,Esi+,DTXSID4047387,SAR102779,DTXCID30197215,C31H32Cl2FN3O3,583.1804755,CC(=O)NC1(CCN(CCC2(CN(C(=O)CO2)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC(F)=CC=C1,9.44,0,,,0.49,46294592,,CC(=O)NC1(CCN(CCC2(CN(C(=O)CO2)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC(F)=CC=C1,,46294592,,4.467961951,14.21438545,2.82582E-07,0.282582205
