Ionization_Mode,DTXSID,Preferred_Name,MS_READY_DTXCID,MS_READY_FORMULA,MS_READY_MONOISOTOPIC_MASS,MS_READY_SMILES,mean_RT,Observed_Isomer,Isomer_Number,Isomer_Order,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity
Esi-,DTXSID1020063,2-Amino-5-nitrophenol,DTXCID2063,C6H6N2O3,154.0378421,NC1=C(O)C=C(C=C1)[N+]([O-])=O,0.95,0,,,0.49,0.122,0.024,3293017,1055833,169143,,,
Esi-,DTXSID1020807,2-Mercaptobenzothiazole,DTXCID90807,C7H5NS2,166.9863415,SC1=NC2=C(S1)C=CC=C2,3.13,0,,,0.49,0.122,0.024,1359159,322376,,,,
Esi-,DTXSID1021031,4-Nitrosodiphenylamine,DTXCID401031,C12H10N2O,198.079313,O=NC1=CC=C(NC2=CC=CC=C2)C=C1,6.28,0,,,0.49,0.122,0.024,3754898,789865,131349,,,
Esi-,DTXSID1021087,Oxazepam,DTXCID301087,C15H11ClN2O2,286.0509053,OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,6.49,0,,,0.4165,0.1037,0.0204,964184,209436,38672,,,
Esi-,DTXSID1021871,4-Chlorophenol,DTXCID201871,C6H5ClO,128.0028925,OC1=CC=C(Cl)C=C1,3.7,0,,,0.49,0.122,0.024,140448,46704,,,,
Esi-,DTXSID1022053,"2-Methyl-4,6-dinitrophenol",DTXCID902053,C7H6N2O5,198.0276713,CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0.39,0,,,0.49,0.122,0.024,6656481,2697639,500513,,,
Esi-,DTXSID1022394,Biochanin A,DTXCID102394,C16H12O5,284.0684735,COC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,7.04,0,,,0.732,0.244,0.061,20019730,7045968,1291483,,,
Esi-,DTXSID1022396,Chrysin,DTXCID902396,C15H10O4,254.0579088,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1,7.6,0,,,0.49,0.122,0.024,14813020,2965754,384716,,,
Esi-,DTXSID1022421,Melatonin,DTXCID002421,C13H16N2O2,232.1211778,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,1.85,0,,,0.732,0.244,0.061,679231,257149,57628,,,
Esi-,DTXSID1023990,Cyanazine,DTXCID803990,C9H13ClN6,240.0890221,CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1,3.47,0,,,0.732,0.244,0.061,638739,210729,39666,,,
Esi-,DTXSID1024338,Thiophanate-methyl,DTXCID104338,C12H14N4O4S2,342.0456473,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1,3.65,0,,,0.49,0.122,0.024,552076,285835,129730,599047,344690,
Esi-,DTXSID1024465,2-Aminobenzimidazole,DTXCID004465,C7H7N3,133.0639972,NC1=NC2=CC=CC=C2N1,0.93,0,,,0.49,0.122,0.024,461766,152215,,,,
Esi-,DTXSID1026081,"3,3',5,5'-Tetrabromobisphenol A",DTXCID406081,C15H12Br4O2,539.757082,CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,11.12,0,,,0.4655,0.1159,0.0228,2571718,522899,96415,,,
Esi-,DTXSID1027502,2-Isopropyl-6-methyl-4-pyrimidone,DTXCID60209431,C8H12N2O,152.094963,CC(C)C1=NC(=O)CC(C)=N1,1.05,0,,,0.49,0.122,0.024,426524,157962,,,,
Esi-,DTXSID1029201,Potassium 6-hydroxynaphthalene-2-sulfonate,DTXCID0027014,C10H8O4S,224.0143299,OC1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O,0.38,0,,,0.49,0.122,0.024,380980,85230,,,,
Esi-,DTXSID1030606,Acesulfame potassium,DTXCID0027983,C4H5NO4S,162.9939288,CC1=CC(=O)NS(=O)(=O)O1,0.42,0,,,0.732,0.244,0.061,4383748,1192691,218734,,,
Esi-,DTXSID1034181,Raloxifene hydrochloride,DTXCID803550,C28H27NO4S,473.1660795,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,5.38,0,,,0.49,0.122,0.024,2135568,1004162,247137,,,
Esi-,DTXSID1034769,Nonivamide,DTXCID9014769,C17H27NO3,293.1990937,CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,8.63,0,,,0.732,0.244,0.061,552438,229104,50687,,,
Esi-,DTXSID1038321,3-Phenoxybenzoic acid,DTXCID9018321,C13H10O3,214.0629942,OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1,3.39,0,,,0.732,0.244,0.061,1720592,582113,119497,,,
Esi-,DTXSID1038876,Phenyl 1-hydroxy-2-naphthoate,DTXCID9018876,C17H12O3,264.0786442,OC1=C(C=CC2=C1C=CC=C2)C(=O)OC1=CC=CC=C1,11.68,0,,,0.49,0.122,0.024,98856,,,,,
Esi-,DTXSID1040245,Sucralose,DTXCID00209612,C12H19Cl3O8,396.0145507,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,1.05,0,,,0.49,0.122,0.024,531525,93859,,,,
Esi-,DTXSID1040619,Bexarotene,DTXCID9020619,C24H28O2,348.2089301,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,12.3,0,,,0.49,0.122,0.024,1050285,261549,,,,
Esi-,DTXSID1042360,Pyrinuron,DTXCID9022360,C13H12N4O3,272.0909403,[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1,3.44,0,,,0.098,0.0244,0.0048,4014345,1280848,232071,,,
Esi-,DTXSID1044221,Indinavir sulfate,DTXCID80196713,C36H47N5O4,613.362805,CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=C1C=CC=C2,10.21,0,,,0.343,0.0854,0.0168,345412,69492,,,,
Esi-,DTXSID1044485,4-Ethoxy-4-oxobut-2-enoic acid,DTXCID9024485,C6H8O4,144.0422587,CCOC(=O)C=CC(O)=O,0.38,0,,,0.49,0.122,0.024,536705,220063,50687,,,
Esi-,DTXSID1046970,5HPP-33,DTXCID9026970,C20H21NO3,323.1521435,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O,10.08,1,1,First,0.49,0.122,0.024,41788896,13135358,2436269,,,
Esi-,DTXSID1046970,5HPP-33,DTXCID9026970,C20H21NO3,323.1521435,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O,10.69,1,2,Second,0.49,0.122,0.024,374734,93035,,,,
Esi-,DTXSID1046976,4-Methylumbelliferone hydrate,DTXCID805670,C10H8O3,176.0473441,CC1=CC(=O)OC2=C1C=CC(O)=C2,2.15,0,,,0.6222,0.2074,0.05185,12765206,4571445,907420,,,
Esi-,DTXSID1047310,Farglitazar,DTXCID50210218,C34H30N2O5,546.2154721,CC1=C(CCOC2=CC=C(CC(NC3=CC=CC=C3C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,10.76,0,,,0.441,0.1098,0.0216,383914,102319,,,,
Esi-,DTXSID1047316,Aplaviroc hydrochloride,DTXCID20197204,C33H43N3O6,577.3151861,CCCCN1C(=O)C(NC(=O)C11CCN(CC2=CC=C(OC3=CC=C(C=C3)C(O)=O)C=C2)CC1)C(O)C1CCCCC1,7.28,0,,,0.196,0.0488,0.0096,209916,71759,,,,
Esi-,DTXSID1047366,SAR115740,DTXCID9027366,C24H17F2N3O,401.1339685,FC1=CC=C2N(CC3=CC(F)=CC=C3)C(=CC2=C1)C(=O)NC1=CC=C2NC=CC2=C1,9.56,0,,,0.49,0.122,0.024,345303,92593,,,,
Esi-,DTXSID1048176,YM218,DTXCID40810483,C35H38F2N4O4,616.286112,CC1=C(C=CO1)C(=O)NC1=CC=C(C=C1)C(=O)N1CCC(F)(F)C(=CC(=O)N2CCC(CC2)N2CCCCC2)C2=CC=CC=C12,6,0,,,0.3185,0.0793,0.0156,263088,72838,,,,
Esi-,DTXSID1048178,FR130739,DTXCID6028153,C24H23N7,409.2014938,CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1,6.46,0,,,0.49,0.122,0.024,903341,297002,55844,,,
Esi-,DTXSID2020058,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole",DTXCID1058,C6H4N4O4,196.0232546,NC1=NN=C(O1)C1=CC=C(O1)[N+]([O-])=O,0.82,0,,,0.732,0.244,0.061,1338897,503271,104158,,,
Esi-,DTXSID2020426,Dicloran,DTXCID60426,C6H4Cl2N2O2,205.9649828,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,5.48,0,,,0.49,0.122,0.024,835382,187848,32297,,,
Esi-,DTXSID2020509,"5,5-Dimethylbarbituric acid",DTXCID20509,C6H8N2O3,156.0534921,CC1(C)C(=O)NC(=O)NC1=O,3.26,0,,,0.49,0.122,0.024,259066,72837,,,,
Esi-,DTXSID2022127,4-Phenoxyphenol,DTXCID802127,C12H10O2,186.0680796,OC1=CC=C(OC2=CC=CC=C2)C=C1,6.94,0,,,,,,172913,29181,,,,
Esi-,DTXSID2022678,Bicalutamide,DTXCID00209197,C18H14F4N2O4S,430.0610408,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,7.03,0,,,,,,5123434,1270526,235787,,,
Esi-,DTXSID2023569,Rosiglitazone maleate,DTXCID5017131,C18H19N3O3S,357.1147127,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=NC=CC=C1,7.45,0,,,,,,2176201,445712,76079,,,
Esi-,DTXSID2024163,Linuron,DTXCID604163,C9H10Cl2N2O2,248.011933,CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,6.83,0,,,,,,1038577,354088,51665,,,
Esi-,DTXSID2030695,Aloe-emodin,DTXCID0010695,C15H10O5,270.0528234,OCC1=CC2=C(C(O)=C1)C(=O)C1=C(C=CC=C1O)C2=O,6.54,0,,,,,,316008,50166,,,,
Esi-,DTXSID2032390,Fenarimol,DTXCID0012390,C17H12Cl2N2O,330.0326684,OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,8.7,0,,,,,,586857,257999,60221,,,
Esi-,DTXSID2032500,Triflumizole,DTXCID60810288,C15H15ClF3N3O,345.0855743,CCCOCC(=NC1=CC=C(Cl)C=C1C(F)(F)F)N1C=CN=C1,11.35,0,,,,,,2813290,917333,184457,,,
Esi-,DTXSID2034627,Fluroxypyr,DTXCID0014627,C7H5Cl2FN2O3,253.9661256,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl,0.8,0,,,,,,700419,157264,24974,,,
Esi-,DTXSID2037712,"4,4',4""-Ethane-1,1,1-triyltriphenol",DTXCID0017712,C20H18O3,306.1255944,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,5.31,0,,,,,,100853,54421,,,,
Esi-,DTXSID2041545,"6-Chloro-2,3-dihydrobenzoxazol-2-one",DTXCID0021545,C7H4ClNO2,168.9930561,ClC1=CC2=C(NC(=O)O2)C=C1,3.76,0,,,,,,4531215,1403667,241148,,,
Esi-,DTXSID2041547,6-Chlorothymol,DTXCID0021547,C10H13ClO,184.0654927,CC(C)C1=CC(Cl)=C(C)C=C1O,9.93,0,,,,,,1456837,396623,34745,,,
Esi-,DTXSID2044268,Cetirizine dihydrochloride,DTXCID802787,C21H25ClN2O3,388.1553704,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,6.81,0,,,,,,299652,93040,,,,
Esi-,DTXSID2044890,2-(4-Hydroxybenzyl)phenol,DTXCID0024890,C13H12O2,200.0837296,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1,4.6,0,,,,,,797284,272702,58404,,,
Esi-,DTXSID2047270,Besonprodil,DTXCID0027270,C21H23FN2O3S,402.1413419,FC1=CC=C(CC2CCN(CCS(=O)C3=CC=C4NC(=O)OC4=C3)CC2)C=C1,6.16,0,,,,,,5936340,2608829,551624,,,
Esi-,DTXSID2047274,CP-114271,DTXCID0027274,C17H19F3N2O4S,404.1017628,CC(CC1=CC=C(OCC(O)=O)C=C1)NCC(O)C1=CSC(=N1)C(F)(F)F,2.03,0,,,,,,543636,162853,,,,
Esi-,DTXSID2047276,CP-409092,DTXCID0027276,C17H19N3O2,297.1477269,CNCC1=CC=C(NC(=O)C2=CNC3=C2C(=O)CCC3)C=C1,1.65,0,,,,,,340841,102259,,,,
Esi-,DTXSID2047307,PD-0333941,DTXCID0027307,C23H22N2O4,390.1579572,CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C1=CC=CC=C1,7.79,0,,,,,,1482510,539646,122689,,,
Esi-,DTXSID2047309,UK-156819,DTXCID0027309,C19H20N2O2,308.1524779,CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1,6.78,0,,,,,,298494,75527,,,,
Esi-,DTXSID2047351,SSR 240612,DTXCID30197210,C42H52N4O7S,756.3556712,COc1ccc2cc(ccc2c1)S(=O)(=O)NC(CC(=O)NC(Cc1ccc(CN2C(C)CCCC2C)cc1)C(=O)N(C)C(C)C)c1ccc2OCOc2c1,8.08,0,,,,,,704826,270911,60491,,,
Esi-,DTXSID3020207,Dinoseb,DTXCID30207,C10H12N2O5,240.0746215,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,0.37,0,,,,,,4335360,1142908,165211,,,
Esi-,DTXSID3021770,"2,2',6,6'-Tetrachlorobisphenol A",DTXCID601770,C15H12Cl4O2,363.9591404,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C1=CC(Cl)=C(O)C(Cl)=C1,10.44,0,,,,,,875931,211881,42960,,,
Esi-,DTXSID3022162,Bromoxynil,DTXCID002162,C7H3Br2NO,274.85814,OC1=C(Br)C=C(C=C1Br)C#N,0.38,1,1,First,,,,8216452,2944065,566321,,,
Esi-,DTXSID3022162,Bromoxynil,DTXCID002162,C7H3Br2NO,274.85814,OC1=C(Br)C=C(C=C1Br)C#N,1.37,1,2,Second,,,,6272715,1615109,316952,,,
Esi-,DTXSID3022409,"4,4'-Sulfonyldiphenol",DTXCID602409,C12H10O4S,250.02998,OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,1.95,0,,,,,,1841732,344134,151802,,,
Esi-,DTXSID3022798,Chlormezanone,DTXCID502798,C11H12ClNO3S,273.0226421,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O,2.61,0,,,,,,77878,,,,,
Esi-,DTXSID3024152,Imazaquin,DTXCID904152,C17H17N3O3,311.1269914,CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O,0.38,1,1,First,,,,145567,52055,,,,
Esi-,DTXSID3024152,Imazaquin,DTXCID904152,C17H17N3O3,311.1269914,CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O,1.07,1,2,Second,,,,226130,72640,,,,
Esi-,DTXSID3024287,Imazethapyr,DTXCID004287,C15H19N3O3,289.1426415,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,0.39,1,1,First,,,,173097,63956,,,,
Esi-,DTXSID3024287,Imazethapyr,DTXCID004287,C15H19N3O3,289.1426415,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,0.74,1,2,Second,,,,495037,196064,,,,
Esi-,DTXSID3024491,2-Amino-6-nitrobenzothiazole,DTXCID304491,C7H5N3O2S,195.0102476,NC1=NC2=CC=C(C=C2S1)[N+]([O-])=O,2.5,0,,,,,,2334827,878569,,,,
Esi-,DTXSID3026560,3-Hydroxy-2-naphthoic acid,DTXCID406560,C11H8O3,188.0473441,OC(=O)C1=CC2=C(C=CC=C2)C=C1O,1.88,0,,,,,,6025293,1644355,301278,,,
Esi-,DTXSID3027320,Sodium 4-nitrophenolate,DTXCID201834,C6H5NO3,139.026943,OC1=CC=C(C=C1)[N+]([O-])=O,1.78,0,,,,,,24279750,8466105,1685222,,,
Esi-,DTXSID3029869,Bezafibrate,DTXCID909869,C19H20ClNO4,361.1080858,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,4.37,0,,,,,,387932,104763,,,,
Esi-,DTXSID3032628,Methoxyfenozide,DTXCID1012628,C22H28N2O3,368.2099928,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,8.75,0,,,,,,16900064,6500303,1274867,,,
Esi-,DTXSID3034165,Nilutamide,DTXCID1014165,C12H10F3N3O4,317.0623403,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,6.42,0,,,,,,10034660,3169360,612972,,,
Esi-,DTXSID3034618,Flufenpyr-ethyl,DTXCID1014618,C16H13ClF4N2O4,408.0499973,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl,10.16,0,,,,,,527779,124608,,,,
Esi-,DTXSID3034664,Imazamox,DTXCID1014664,C15H19N3O4,305.1375561,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,0.39,1,1,First,,,,197802,71824,,,,
Esi-,DTXSID3034664,Imazamox,DTXCID1014664,C15H19N3O4,305.1375561,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,0.56,1,2,Second,,,,218144,79841,,,,
Esi-,DTXSID3037208,Diclofenac sodium,DTXCID802923,C14H11Cl2NO2,295.016684,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,6.7,0,,,,,,2760166,581136,101229,,,
Esi-,DTXSID3037541,Endosulfan sulfate,DTXCID1017541,C9H6Cl6O4S,419.811796,ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl,10.15,0,,,,,,2001115,473044,99180,,,
Esi-,DTXSID3038939,PFOSA,DTXCID1018939,C8H2F17NO2S,498.9534783,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.5,0,,,,,,7105693,1600233,281850,,,
Esi-,DTXSID3041372,"2,5-Dichloro-3-nitrobenzoic acid",DTXCID1021372,C7H3Cl2NO4,234.943913,OC(=O)C1=C(Cl)C(=CC(Cl)=C1)[N+]([O-])=O,0.97,0,,,,,,752888,207510,,,,
Esi-,DTXSID3042180,"N-(3,4-Dichlorophenyl)-N'-methylurea",DTXCID1022180,C8H8Cl2N2O,218.0013683,CNC(=O)NC1=CC(Cl)=C(Cl)C=C1,5.88,0,,,,,,17729208,4672378,857591,,,
Esi-,DTXSID3042188,"N,N'-Dibutylurea",DTXCID1022188,C9H20N2O,172.1575633,CCCCNC(=O)NCCCC,5.03,0,,,,,,168217,42323,,,,
